info,link
Restaurant Vietnamien proche Paris 13ème - Restaurant - Paris 13ème - Vietnamien,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/vietnamien-t394)
Restaurant Oriental proche Paris 13ème - Restaurant - Paris 13ème - Oriental,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/oriental-t460)
Restaurant Cuisine du monde proche Paris 13ème - Restaurant - Paris 13ème - Cuisine du monde,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/world-food-t471)
Restaurant Thaïlandais proche Paris 13ème - Restaurant - Paris 13ème - Thaïlandais,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/thailandais-t393)
Restaurant Japonais proche Paris 13ème - Restaurant - Paris 13ème - Japonais,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/japonais-t391)
Restaurant Chinois proche Paris 13ème - Restaurant - Paris 13ème - Chinois,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/chinois-t389)
Restaurant Indien proche Paris 13ème - Restaurant - Paris 13ème - Indien,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/indien-t451)
Restaurant Coréen proche Paris 13ème - Restaurant - Paris 13ème - Coréen,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/coreen-t390)
Restaurant Africain proche Paris 13ème - Restaurant - Paris 13ème - Africain,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/africain-t385)
Restaurant Fusion proche Paris 13ème - Restaurant - Paris 13ème - Fusion,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/fusion-t450)
Restaurant Latino proche Paris 13ème - Restaurant - Paris 13ème - Latino,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/latino-t452)
Restaurant Méditérranéen proche Paris 13ème - Restaurant - Paris 13ème - Méditérranéen,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/mediterraneen-t789)
Restaurant Libanais proche Paris 13ème - Restaurant - Paris 13ème - Libanais,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/libanais-t465)
Restaurant Crêperie proche Paris 13ème - Restaurant - Paris 13ème - Crêperie,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/creperie-t444)
Restaurant Algérien proche Paris 13ème - Restaurant - Paris 13ème - Algérien,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/algerien-t461)
Restaurant Tunisien proche Paris 13ème - Restaurant - Paris 13ème - Tunisien,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/tunisien-t467)
Restaurant YUMS x2 proche Paris 13ème - Restaurant - Paris 13ème - YUMS x2,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/yums-x2-t4339)
Restaurant Acceptant mes Yums proche Paris 13ème - Restaurant - Paris 13ème - Acceptant mes Yums,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/programme-de-fidelite-t831)
Restaurant INSIDER proche Paris 13ème - Restaurant - Paris 13ème - INSIDER,[Link](https://www.thefork.fr/restaurants/paris-c415144/13e-arrondissement-a539/insider-t2311)
"Kenzy - 15 Rue Jeanne Chauvin, 75013, Paris - Oriental",[Kenzy](https://www.thefork.fr/restaurant/kenzy-r719813)
"Le WokCafe Paris - 33 Rue Pascal, 75013, Paris - Asiatique",[Le WokCafe Paris](https://www.thefork.fr/restaurant/le-wokcafe-paris-r745471)
"Allotrope - 38 Rue des cinq Diamants, 75013, Paris - Italien",[Allotrope](https://www.thefork.fr/restaurant/allotrope-r745400)
"Florina - 47 Boulevard de Port-Royal, 75013, Paris-13E-Arrondissement - Français",[Florina](https://www.thefork.fr/restaurant/florina-r416457)
"Station Krishna - 16, rue du Père Guérin, 75013, Paris - Indien",[Link](https://www.thefork.fr/restaurant/station-krishna-r1784)
"SAI Restaurant Indien - 9 Rue Michel Peter, 75013, Paris - Indien",[Link](https://www.thefork.fr/restaurant/sai-restaurant-indien-r803708)
"Sushi Osaka - 37 Bd Auguste Blanqui, 75013, Paris - Japonais",[Link](https://www.thefork.fr/restaurant/sushi-osaka-r802210)
"Nieli - 17/19, rue Louise Weiss, 75013, Paris - Pizzeria",[Link](https://www.thefork.fr/restaurant/nieli-r20290)
